,titulo_anuncio,tipo_alojamineto,numero_personas,n_dormitorios,nunmero_camas,nunmero_banos,comunidad,url,valoracion,n_evaluaciones,precio
65,Nuevo! en el casco histórico.,piso,4 viajeros,2 dormitorios,2 camas,1 baño,andalucia,https://www.airbnb.es/rooms/879214680515443972?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1691086477_tJdljMKkj%2BFBJxZC&previous_page_section_name=1000&federated_search_id=8ba10d56-a89b-4437-85ab-75751c8b3070,2,evaluaciones,
66,Apartamento con vistas,piso,2 viajeros,1 dormitorio,1 cama,1 baño,navarra,https://www.airbnb.es/rooms/840590179211270533?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691085707_%2FEpZ4QcMMVMJ%2F%2Bjt&previous_page_section_name=1000&federated_search_id=135e53ea-3e99-47ea-87c0-062c82121ded,"4,89",9,85€
67,El Balcón. Un estudio con vistas,piso,2 viajeros,1 dormitorio,2 camas,1 baño,extremadura,https://www.airbnb.es/rooms/933769914543958534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086375_eNv5XeGXMInwZ%2Brz&previous_page_section_name=1000&federated_search_id=b75cf506-cd7c-451a-875e-aa9b2560bab4,1,evaluación,53€
68,Luminosa casona asturiana con piscina y jardín!,piso,5 viajeros,2 dormitorios,3 camas,1 baño,asturias,https://www.airbnb.es/rooms/37389090?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085514_pZPK7SjpPU0i9SWr&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567,"4,72",29,87€
69,Pequeña y acogedora masía en el Alto Maestrazgo,casa rural,4 viajeros,3 dormitorios,3 camas,1 baño,comunidad_valenciana,https://www.airbnb.es/rooms/643890101435133670?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1691086140_SQP6roh5%2F6ambK0V&previous_page_section_name=1000&federated_search_id=62f88a3c-3e45-4ef1-a781-d297556d3c5d,"4,88",32,105€
70,Alojamiento Sanchinarro Madrid,apto,2 viajeros,1 dormitorio,1 cama,1 baño,madrid,https://www.airbnb.es/rooms/30391110?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086090_CcO28b5jdH56TQ7U&previous_page_section_name=1000&federated_search_id=6b4b3f9c-2140-42ff-b81f-afe18f16e705,"4,63",40,
71,Habitación cómoda para 1 persona,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/876708345676040943?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086135_88w6vXY%2Ff72g5rhj&previous_page_section_name=1000&federated_search_id=a86b27f4-0962-4f79-8e1e-e8e9a9f7c3da,,,
72,Buhardilla en pleno centro de Sangüesa,piso,2 viajeros,Estudio,1 cama,1 baño,navarra,https://www.airbnb.es/rooms/618462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1691085740_y1pua2mrFNVpZ6gM&previous_page_section_name=1000&federated_search_id=1d9330a6-cc5d-4cde-ace7-b39a08194ef2,"4,13",16,52€
73,Masía Platerías en Vilafamés (Casa de Campo),casa de invitados,4 viajeros,1 dormitorio,2 camas,2 baños,aragon,https://www.airbnb.es/rooms/13462230?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-02&check_out=2023-09-07&source_impression_id=p3_1691085876_7p0Y9qTSqYDY1aO2&previous_page_section_name=1000&federated_search_id=76720e18-d93a-4b89-b47e-c383f2e956d8,"4,41",133,36€
74,Acogedor Estudio - CENTRO,loft,2 viajeros,1 dormitorio,1 cama,1 baño,andalucia,https://www.airbnb.es/rooms/29585818?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086469_UixtjRhxG0KNwmMk&previous_page_section_name=1000&federated_search_id=7080bf58-dd84-4e58-a33a-bc2f56ca9f1e,"4,53",285,
75,Precioso apartamento para parejas en Porto do Son,piso,2 viajeros,1 dormitorio,1 cama,1 baño,galicia,https://www.airbnb.es/rooms/36791398?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-08&check_out=2023-09-13&source_impression_id=p3_1691085455_%2FFNzepi7lQXewxSv&previous_page_section_name=1000&federated_search_id=2a3fbbba-790f-41bf-b073-6e97dbf161e1,"4,50",16,
76,Habitación individual cerca a Valencia,,,,,,valencia,https://www.airbnb.es/rooms/938259527144751128?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-23&check_out=2023-08-28&source_impression_id=p3_1691085341_sDA%2Bxdkw76E055js&previous_page_section_name=1000&federated_search_id=9a8c8858-8187-482b-bbb7-e88b3bf9cfda,,,
77,Fantástica vivienda Río centro,piso,3 viajeros,2 dormitorios,3 camas,1 baño,murcia,https://www.airbnb.es/rooms/879466018613158633?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-27&source_impression_id=p3_1691086290_fyA0zaEXPUy0jc4u&previous_page_section_name=1000&federated_search_id=3ef442ac-88f8-441e-a93f-f7abf20dea84,"5,0",8,
78,"Apartamento Turístico ""La Catamusa""",piso,3 viajeros,2 dormitorios,2 camas,1 baño,extremadura,https://www.airbnb.es/rooms/27597657?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086394_SiWmPC4uCQH6XUEa&previous_page_section_name=1000&federated_search_id=3b698b64-ef89-4948-a5e9-328b47769f00,"4,98",55,66€
79,Piscina en cómodo estudio a 30 minutos de Madrid,piso,2 viajeros,1 dormitorio,1 cama,1 baño,castilla_la_mancha,https://www.airbnb.es/rooms/36819312?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086220_FDSoTAVUMTia3QVq&previous_page_section_name=1000&federated_search_id=fd8be956-1c2a-4cba-a75d-2ce3f91af429,"4,81",42,
80,PRECIOSO Y CALIDO PISO EN MADRID,piso,4 viajeros,1 dormitorio,2 camas,1 baño,madrid,https://www.airbnb.es/rooms/53862376?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086077_TzSBlE6T8bAfpPnR&previous_page_section_name=1000&federated_search_id=bc0595a8-b236-4d91-851e-6f8b0e410d75,2,evaluaciones,42€
81,Casa Heli Etxea,chalet,8 viajeros,3 dormitorios,6 camas,1 baño,navarra,https://www.airbnb.es/rooms/918876889491326308?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691085719_iNahoYosBHosuISE&previous_page_section_name=1000&federated_search_id=e5a274f3-e5da-4a93-97c4-a5fe81bb9770,2,evaluaciones,190€
82,Suite Standard Plus,apartamento con servicios,4 viajeros,1 dormitorio,3 camas,1 baño,pais_vasco,https://www.airbnb.es/rooms/53713146?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691085640_S4OEIbdmWYJJSpWO&previous_page_section_name=1000&federated_search_id=c79de80a-6aa6-4a77-8a65-93b03c5b650c,"4,93",14,
83,Caserio Vasco,,,,,,pais_vasco,https://www.airbnb.es/rooms/711105?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-04&source_impression_id=p3_1691085628_uLxKTb4wVSpXExAZ&previous_page_section_name=1000&federated_search_id=a351f612-6da7-49ad-a724-ca1169f0384e,,,
84,Balcones de Valverde. TR-CC-00322. Apartamento 1,piso,2 viajeros,1 dormitorio,1 cama,1 baño,extremadura,https://www.airbnb.es/rooms/717448387110261401?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1691086363_qbaTEekNRux%2BMlPN&previous_page_section_name=1000&federated_search_id=969fb88e-1bfc-4875-8cbe-da527822721e,2,evaluaciones,62€
85,Piso con vistas al Jardín de San Esteban,piso,4 viajeros,2 dormitorios,3 camas,1 baño,murcia,https://www.airbnb.es/rooms/658365598691952888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691086281_4csft4OYtwVt85gs&previous_page_section_name=1000&federated_search_id=27ce2f2e-a752-417a-88df-5688f680d26a,"4,71",28,
86,Apartamento Bab Sebta Fnideq,piso,5 viajeros,2 dormitorios,4 camas,1 baño,ceuta,https://www.airbnb.es/rooms/919660045664839275?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1691086520_gzHSvRVRl6pjWBt5&previous_page_section_name=1000&federated_search_id=24264967-4eb2-45b7-bfb3-1fa9b640c30d,,,
87,habitación individual con piscina en Valencia,,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/36636635?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086112_EyulrmKgZOhE8Aw6&previous_page_section_name=1000&federated_search_id=aa0bda1a-f027-4b61-b49a-766dd9d1ad32,,,
88,Habitación con baño compartido,Yazeed,2 viajeros,1 dormitorio,1 cama,1 baño compartido,aragon,https://www.airbnb.es/rooms/930907315613133710?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-26&source_impression_id=p3_1691085888_K3rqannIyGoNYDz8&previous_page_section_name=1000&federated_search_id=f990870d-b08c-461d-b466-25185206e6c1,2,evaluaciones,37€
89,Apartamento para familias centro,piso,5 viajeros,2 dormitorios,3 camas,1 baño,melilla,https://www.airbnb.es/rooms/899879257488624977?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086606_xjq4cdrOlkE1uXS0&previous_page_section_name=1000&federated_search_id=e9d281e6-3f1c-4ca2-b24e-be771f1b5143,1,evaluación,52€
90,Confort y tranquilo,piso,4 viajeros,2 dormitorios,3 camas,1 baño,la_rioja,https://www.airbnb.es/rooms/871700689864755825?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1691085803_u4Hha8oq5H048ZGu&previous_page_section_name=1000&federated_search_id=c932d150-9a74-43f5-8ab2-bd4287d58020,"4,44",16,60€
91,Rincón para soñar,piso,2 viajeros,1 dormitorio,1 cama,1 baño,aragon,https://www.airbnb.es/rooms/52329525?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-14&source_impression_id=p3_1691085823_kwyXVxP78ls4uGfC&previous_page_section_name=1000&federated_search_id=3397a057-7f5b-41d5-9b75-362a7ceaedde,"4,89",19,
92,"2 camas en departamento compartido, 30 € cada cama por noche",,,,,,comunidad_valenciana,https://www.airbnb.es/rooms/924423411656115604?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1691086144_1v80IoqD4Hd%2B1XT5&previous_page_section_name=1000&federated_search_id=55488ee9-1454-4543-999c-a1237a6e6007,,,
93,Estudio piscina y solárium,Cecilia,1 viajero,1 dormitorio,1 cama,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/949005797134336221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691085989_bKg0KhWmJy5TiR%2Fu&previous_page_section_name=1000&federated_search_id=a15937ca-4c81-47d0-8fcc-29b6f458c6b3,,,
94,Piso en la Playa,piso,4 viajeros,2 dormitorios,2 camas,1 baño,galicia,https://www.airbnb.es/rooms/35279627?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-10&check_out=2023-09-15&source_impression_id=p3_1691085451_71iOzpNrwIiqIB%2Bp&previous_page_section_name=1000&federated_search_id=da7a32ac-78e9-4c66-b58b-f35de33dc4e8,"4,94",103,62€
95,Etxe Edu,,,,,,pais_vasco,https://www.airbnb.es/rooms/947783413182953683?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-22&check_out=2023-08-29&source_impression_id=p3_1691085664_wNpX8mG5pk4TW%2BTv&previous_page_section_name=1000&federated_search_id=0a63ffd2-16b3-46cf-b868-dc6e68a894be,,,
96,Dormitorio con baño privado,,,,,,baleares,https://www.airbnb.es/rooms/934709129834803570?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1691086640_ABNxG%2F%2BTXmAXxvPp&previous_page_section_name=1000&federated_search_id=3bf09766-480f-4640-a923-7efd2ebe8cba,,,
97,"Liébana, Picos de Europa.",,,,,,cantabria,https://www.airbnb.es/rooms/852804281921896857?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1691085592_CUN9l3pAYu5qwyWV&previous_page_section_name=1000&federated_search_id=c6d28f05-53da-4ea3-bef7-2cc4337ed57b,,,
98,Apartaestudio El Palmar Arrixaca 8,piso,3 viajeros,Estudio,2 camas,1 baño,murcia,https://www.airbnb.es/rooms/648509070543585726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1691086271_ryIL5pC2xJ9Vkaag&previous_page_section_name=1000&federated_search_id=8d9c264c-0aac-4cda-ad53-aa525c20ba2b,"4,54",24,38€
99,Precioso apartamento en Muriedas,piso,4 viajeros,2 dormitorios,3 camas,1 baño,cantabria,https://www.airbnb.es/rooms/931833407736271624?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1691085579_wbFM2s8l4OYWowAa&previous_page_section_name=1000&federated_search_id=3bd3b8aa-cf5b-4847-aa79-dad04cc7fcef,"5,0",8,95€
100,Apartamento Olímpico en Murcia,apto,2 viajeros,1 dormitorio,1 cama,1 baño,murcia,https://www.airbnb.es/rooms/751297513533665694?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1691086315_56tq1eL4oZ58Pqq8&previous_page_section_name=1000&federated_search_id=d8c7ef25-0126-4509-83f7-2475e06a1d11,"4,80",15,
101,Apartamento vacacional,apto,2 viajeros,1 dormitorio,2 camas,1 baño,asturias,https://www.airbnb.es/rooms/594631947469219569?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-01&check_out=2023-10-07&source_impression_id=p3_1691085514_bfhbx10IhEQhlpB9&previous_page_section_name=1000&federated_search_id=effd06b7-7485-4463-845b-a96e69a71567,"4,50",10,46€
102,Agradable casa rural en la calzada de Bejar,casa rural,5 viajeros,3 dormitorios,5 camas,2 baños,extremadura,https://www.airbnb.es/rooms/627937538367488262?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-03&source_impression_id=p3_1691086398_xgQUPcFt8F5InCdh&previous_page_section_name=1000&federated_search_id=f2cb83dc-d7c3-4b43-bb23-2c37d1a339df,1,evaluación,75€
103,"Bienvenido, apartamento con piscina.",apartamento con servicios,6 viajeros,2 dormitorios,6 camas,"1,5 baños",ceuta,https://www.airbnb.es/rooms/29186783?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-12&check_out=2023-09-17&source_impression_id=p3_1691086528_e71pRU4DKvO6k%2B%2Bs&previous_page_section_name=1000&federated_search_id=277aed56-87fa-427a-91d7-eaaf0a0a6e7b,"4,80",11,
104,"¡Disfrutad de las vacaciones modernas, sostenibles y fuera de la red!",Meghan,3 viajeros,1 dormitorio,1 cama,1 baño,navarra,https://www.airbnb.es/rooms/51079006?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-19&check_out=2023-08-25&source_impression_id=p3_1691085715_wvYt%2BaeUn8o31cfA&previous_page_section_name=1000&federated_search_id=56966045-f5af-4a4f-8d06-633587c2fd56,"4,64",14,68€
105,Jardín y Garden Loft,piso,2 viajeros,1 dormitorio,1 cama,"1,5 baños",madrid,https://www.airbnb.es/rooms/927425812753658912?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-14&check_out=2023-08-19&source_impression_id=p3_1691086090_Hj7j3zG9lz6rEX6p&previous_page_section_name=1000&federated_search_id=6b4b3f9c-2140-42ff-b81f-afe18f16e705,"4,75",4,
106,habitación Bilbao grande,,,,,,pais_vasco,https://www.airbnb.es/rooms/940784275821889190?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1691085648_93jk%2FXLDmieYhfn4&previous_page_section_name=1000&federated_search_id=46d55eef-d725-44e5-8aaf-90aabf328381,,,
107,"Carga tipi con vistas al mar, tienda de campaña 2.",Marcos,2 viajeros,1 dormitorio,1 baño compartido,,andalucia,https://www.airbnb.es/rooms/51696822?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1691086456_5Jl5vMl1HVpfwRZi&previous_page_section_name=1000&federated_search_id=4682e3d6-9cec-422e-9724-ac12b125e123,,,
108,ZaperocoHomes El Pinar,vivienda,8 viajeros,3 dormitorios,6 camas,1 baño,castilla_y_leon,https://www.airbnb.es/rooms/923837076426516466?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1691086013_BFfKlHzC93X0mp92&previous_page_section_name=1000&federated_search_id=2c9de40c-ece7-478f-8309-ba675d3a77f2,1,evaluación,
109,Villa con vistas al mar,villa,6 viajeros,2 dormitorios,6 camas,3 baños,ceuta,https://www.airbnb.es/rooms/948487217636513025?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1691086547_syH1z1%2BoyTBr03us&previous_page_section_name=1000&federated_search_id=b11a0d50-4aac-4219-9e9c-a151c317ad74,,,
110,Desconecta en esta casa con piscina privada,chalet,4 viajeros,2 dormitorios,3 camas,"1,5 baños",castilla_y_leon,https://www.airbnb.es/rooms/872180522553105694?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-23&source_impression_id=p3_1691086025_hZj7kIB%2FAQEc%2FFBb&previous_page_section_name=1000&federated_search_id=020f3247-d7ea-4824-8c76-26dc7189de1e,"5,0",7,135€
111,Cabaña Torgás en el corazón de la Ribeira Sacra.,Isabel,2 viajeros,1 dormitorio,1 cama,1 baño,galicia,https://www.airbnb.es/rooms/687569240860551250?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1691085419_83K%2FPGwoqyIIkpb4&previous_page_section_name=1000&federated_search_id=35f1baf4-7172-46fc-8a8c-cec85d19a936,"4,96",23,
112,Casa señorial S.XVII Rioja Alta,vivienda,8 viajeros,3 dormitorios,6 camas,3 baños,la_rioja,https://www.airbnb.es/rooms/862952044836316372?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691085799_FEU5vKSTmfJUcPb7&previous_page_section_name=1000&federated_search_id=678c079a-0bb1-4ea7-8a80-33c5cc3f232f,1,evaluación,154€
113,I Apartamentos Morales & Arnal Moderno y centro,piso,2 viajeros,1 dormitorio,1 cama,1 baño,andalucia,https://www.airbnb.es/rooms/3025183?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-24&check_out=2023-08-29&source_impression_id=p3_1691086444_DkRppu8Np8Wy6ZuV&previous_page_section_name=1000&federated_search_id=9d065b67-da3f-403f-a4b7-9a498a2c96b0,"4,82",800,50€
